p_id,assist,goal,play,st
20060117,1,1,22,28
20060118,0,2,16,14
20060127,0,0,1,0
20060128,1,3,13,14
20060129,1,0,5,3
20060130,23,47,115,193
20060132,0,0,1,4
20060136,0,0,2,4
20060139,0,0,7,10
20060142,0,0,2,2
20060145,0,1,15,15
20060146,6,8,16,27
20060154,16,40,92,286
20060170,0,0,1,1
20060171,0,3,10,18
20060173,0,4,12,18
20060176,0,0,4,10
20060177,0,0,1,1
20060178,0,1,8,9
20070002,0,0,5,2
20070003,0,1,4,5
20070004,0,0,3,5
20070006,0,0,1,0
20070008,3,4,32,47
20070009,2,1,14,16
20070015,0,0,3,0
20070016,3,16,59,116
20070019,0,0,2,2
20070024,0,0,1,4
20070026,0,0,1,1
20070031,8,19,77,112
20070032,0,1,5,5
20070034,0,0,6,6
20070035,1,0,4,6
20070036,2,1,13,25
20070037,1,0,6,8
20070039,0,0,1,0
20070043,7,16,75,135
20070044,0,0,1,0
20070045,0,0,1,2
20070050,24,72,166,410
20070052,2,1,12,13
20070053,0,0,2,0
20070054,0,1,4,4
20070059,0,0,1,2
20070073,0,0,2,1
20070075,0,0,2,8
20070076,7,15,27,68
20070078,0,0,2,3
20070079,0,1,17,22
20070080,1,1,12,12
20070082,0,0,1,0
20070083,0,0,2,1
20070087,3,30,62,144
20070089,0,0,6,2
20070093,0,0,3,3
20070095,0,0,16,5
20070096,0,3,9,11
20070097,0,0,1,2
20070099,17,41,99,260
20070100,36,131,208,747
20070124,0,0,5,2
20070141,1,1,10,17
20070182,1,1,8,20
20070183,7,5,28,69
20070184,1,3,15,22
20070186,0,3,12,16
20070187,4,3,15,43
20070188,1,0,9,18
20070189,0,0,1,1
20070190,0,0,1,3
20070191,0,1,1,2
20070230,0,0,1,0
20080012,0,0,2,2
20080014,7,16,62,71
20080015,1,0,16,16
20080017,1,0,3,5
20080018,12,18,100,170
20080027,1,1,9,15
20080031,0,7,14,33
20080032,0,1,3,3
20080033,0,0,2,0
20080034,0,1,20,17
20080037,1,1,18,13
20080038,17,21,70,112
20080040,0,0,3,1
20080041,0,1,7,5
20080042,0,0,1,0
20080043,0,0,2,1
20080045,2,7,40,49
20080048,0,0,2,0
20080057,0,0,1,0
20080059,5,12,58,103
20080060,0,0,6,5
20080066,18,32,133,278
20080069,2,6,40,49
20080074,2,4,42,39
20080077,0,1,26,10
20080078,2,1,22,35
20080081,2,2,18,33
20080082,0,0,1,0
20080084,0,0,1,0
20080087,2,2,18,32
20080089,0,0,1,0
20080095,1,0,6,11
20080103,5,4,42,62
20080104,0,1,7,14
20080107,1,0,6,5
20080108,2,4,29,52
20080109,0,0,1,0
20080110,1,1,9,15
20080111,0,0,4,6
20080112,0,0,8,13
20080245,0,0,1,2
20080259,6,9,29,49
20080260,0,0,7,13
20080261,0,0,1,0
20080262,13,22,68,235
20080263,0,1,3,6
20080309,0,0,4,6
20080310,1,0,3,2
20080320,0,1,5,6
20080321,0,0,1,0
20080334,6,10,36,70
20080339,1,4,17,46
20080340,1,0,7,3
20080341,2,1,8,13
20080342,1,0,4,9
20080344,1,2,9,19
20080345,0,4,6,8
20090004,0,0,1,0
20090012,3,0,16,5
20090013,0,0,2,1
20090018,3,11,50,66
20090020,16,67,155,368
20090021,0,0,12,12
20090025,1,0,1,2
20090030,1,0,7,6
20090031,10,28,108,165
20090037,2,1,19,22
20090041,0,0,1,0
20090050,9,14,61,92
20090051,2,15,52,114
20090053,0,1,1,1
20090059,0,0,1,0
20090061,6,38,67,182
20090064,1,0,15,30
20090067,0,0,2,0
20090073,0,1,3,2
20090074,0,0,1,1
20090076,0,0,1,4
20090077,2,1,23,25
20090079,0,0,4,10
20090081,0,4,31,51
20090084,0,0,1,0
20090086,0,0,4,0
20090089,0,0,2,1
20090092,2,6,38,44
20090093,0,0,3,0
20090102,1,3,14,26
20090103,0,0,1,0
20090104,2,6,18,42
20090106,1,1,6,8
20090109,1,2,24,37
20090117,0,0,7,5
20090118,3,1,11,19
20090119,18,21,83,152
20090121,1,0,1,1
20090122,0,0,1,0
20090125,0,0,4,4
20090126,0,0,1,0
20090127,0,1,8,20
20090130,0,0,6,7
20090132,0,0,2,2
20090134,0,0,9,12
20090142,2,3,53,71
20090143,0,0,1,1
20090144,12,40,110,277
20090146,6,7,57,57
20090147,0,0,1,0
20090150,0,0,2,0
20090151,4,3,51,56
20090152,1,0,3,2
20090154,1,1,19,14
20090159,0,1,9,9
20090164,0,0,4,9
20090165,0,1,7,16
20090166,0,5,19,20
20090168,2,4,26,59
20090169,1,1,11,18
20090171,1,0,2,4
20090172,0,0,1,1
20090221,0,4,14,27
20090222,3,2,13,20
20090223,1,0,6,14
20090225,3,5,20,50
20090226,0,1,7,9
20090227,1,7,25,49
20090229,0,0,2,4
20090237,40,37,106,305
20090239,0,0,4,0
20090240,1,2,8,12
20090243,7,1,20,43
20100001,22,30,71,218
20100002,3,9,20,48
20100003,1,5,23,29
20100009,0,0,2,2
20100013,0,0,1,0
20100014,1,5,22,28
20100017,2,2,17,15
20100019,0,0,7,5
20100023,1,0,2,0
20100026,0,1,3,7
20100027,18,24,117,190
20100030,0,0,1,1
20100032,0,0,1,1
20100041,1,2,10,13
20100042,3,6,26,53
20100047,0,0,5,10
20100048,0,0,6,2
20100051,0,0,7,7
20100052,2,3,35,34
20100054,0,0,1,1
20100056,1,5,20,12
20100058,0,0,2,2
20100062,3,9,44,59
20100063,6,20,48,92
20100065,0,0,8,3
20100073,0,0,1,0
20100076,0,1,10,2
20100077,2,12,69,135
20100079,0,1,5,10
20100080,1,7,28,51
20100081,1,0,6,5
20100086,0,0,2,0
20100090,0,0,1,0
20100093,0,0,1,0
20100095,2,7,29,47
20100096,0,0,1,0
20100097,1,1,23,28
20100098,3,16,26,62
20100099,2,4,11,21
20100102,0,1,3,2
20100103,1,2,14,26
20100104,1,0,9,8
20100111,0,1,5,3
20100112,0,2,15,12
20100116,0,0,1,1
20100121,0,0,1,0
20100124,0,4,15,32
20100125,0,0,3,1
20100127,0,0,5,3
20100134,5,11,78,125
20100135,0,0,2,1
20100140,0,0,2,1
20100143,0,0,1,1
20100147,2,2,17,27
20100149,0,0,10,9
20100150,0,6,18,25
20100154,0,0,2,6
20100162,0,0,3,2
20100164,1,2,35,36
20100166,1,0,1,1
20100167,2,2,15,15
20100169,0,0,1,0
20100172,18,41,90,244
20100176,15,15,70,130
20100177,0,0,2,0
20100178,0,0,6,3
20100179,0,0,4,0
20100186,1,2,10,9
20100207,3,0,13,24
20100251,0,0,5,10
20100260,0,0,1,2
20100261,1,3,12,13
20100272,0,1,8,3
20100273,0,0,1,0
20100278,0,4,11,19
20100279,4,2,15,26
20100282,0,0,1,1
20100286,1,4,9,16
20100299,0,0,1,0
20110001,0,0,2,2
20110012,0,0,1,0
20110014,2,1,12,17
20110016,0,0,2,5
20110028,0,0,6,17
20110036,0,0,2,0
20110040,6,14,59,114
20110043,0,1,14,29
20110044,0,0,1,0
20110046,0,1,2,3
20110049,1,1,14,11
20110050,0,1,4,2
20110060,7,17,41,74
20110064,4,13,24,54
20110067,7,5,47,63
20110068,0,1,8,6
20110070,0,0,1,0
20110073,6,19,75,133
20110074,2,6,26,38
20110079,1,0,2,2
20110081,1,0,2,0
20110090,0,0,3,3
20110095,0,0,3,6
20110096,0,0,9,4
20110097,1,4,56,79
20110105,1,6,25,95
20110109,0,0,2,0
20110112,0,0,2,0
20110114,0,0,1,3
20110117,0,0,3,3
20110121,2,3,13,12
20110122,1,1,7,9
20110131,2,5,33,57
20110132,1,1,13,12
20110134,1,0,16,18
20110137,1,2,7,13
20110138,3,7,43,53
20110146,0,0,1,0
20110150,3,1,22,23
20110153,0,1,19,4
20110157,7,13,78,138
20110158,0,0,1,0
20110159,3,5,31,39
20110160,0,0,2,0
20110161,0,0,4,3
20110165,0,0,3,2
20110167,0,0,6,7
20110169,4,14,49,83
20110186,3,3,22,33
20110188,1,2,19,32
20110189,2,0,11,17
20110190,5,30,112,165
20110191,15,11,80,119
20110193,8,12,54,115
20110194,0,0,1,1
20110195,0,0,1,1
20110197,3,2,20,17
20110198,1,0,2,1
20110201,0,0,8,1
20110203,0,0,1,1
20110205,0,0,5,2
20110209,6,6,29,96
20110210,4,6,32,57
20110211,0,2,7,10
20110227,1,0,2,3
20110228,1,1,7,5
20110229,0,0,3,1
20110241,0,0,8,9
20110245,0,0,3,6
20110248,14,24,94,158
20110251,8,19,72,179
20110252,3,17,57,121
20110254,0,0,3,9
20110387,3,6,20,26
20110388,0,0,10,22
20110395,3,16,43,83
20110398,0,1,6,10
20110399,0,0,1,1
20110400,1,2,18,25
20110416,0,0,1,1
20110417,0,0,4,5
20110419,0,0,1,2
20120002,0,3,11,24
20120004,1,1,5,7
20120009,0,0,1,2
20120011,5,4,35,61
20120013,0,1,7,8
20120017,0,1,2,3
20120021,1,2,15,28
20120022,0,0,4,4
20120024,1,4,32,58
20120027,0,1,4,2
20120028,0,0,1,0
20120034,0,0,9,14
20120035,0,4,17,29
20120037,0,1,1,1
20120041,0,0,3,7
20120054,0,0,2,2
20120062,1,1,4,7
20120063,0,0,2,2
20120064,1,1,8,7
20120066,0,0,1,1
20120068,0,1,7,8
20120080,2,3,10,14
20120086,7,7,40,66
20120088,2,4,22,44
20120089,4,1,16,36
20120090,2,6,16,34
20120091,2,2,14,20
20120095,0,0,1,0
20120098,7,11,49,70
20120105,3,11,35,64
20120106,0,0,3,3
20120112,4,6,24,53
20120117,2,2,11,14
20120126,3,14,35,70
20120127,1,2,10,14
20120128,5,7,27,52
20120130,0,0,3,2
20120131,2,5,14,18
20120133,7,12,40,69
20120144,0,0,2,0
20120145,0,0,1,2
20120152,12,30,77,271
20120153,0,0,2,2
20120154,1,1,15,11
20120156,0,0,1,0
20120158,0,0,1,0
20120162,10,16,48,80
20120163,4,0,8,5
20120254,0,3,16,34
20120255,1,4,14,25
20120256,1,4,16,19
20120259,0,0,2,2
20120260,6,16,43,135
20120263,8,8,49,59
20120264,3,2,13,23
20120265,1,2,21,39
20120268,0,0,2,6
20120269,1,1,6,19
20120270,0,1,7,15
20130026,2,3,25,41
20130028,16,13,50,67
20130032,1,0,15,20
20130097,0,0,4,3
20130098,0,0,2,2
20130107,5,18,49,134
20130113,0,0,12,5
20130115,1,0,6,9
20130117,1,3,24,26
20130119,0,0,3,2
20130120,0,0,1,0
20130121,0,10,21,59
20130122,0,0,1,1
20130128,2,1,9,15
20130129,0,2,4,6
20130131,5,11,45,61
20130132,0,0,5,11
20130135,1,6,12,30
20130137,0,0,5,3
20130144,2,5,29,26
20130153,0,0,2,2
20130155,0,0,1,1
20130160,0,1,10,8
20130164,2,14,40,122
20130189,4,7,19,37
20130190,0,1,5,4
20130197,0,0,1,1
20130239,1,4,14,17
20130242,3,6,35,54
20130243,0,1,8,9
20130244,0,0,1,0
20130248,7,24,52,134
20130258,0,0,2,7
20130260,0,0,2,5
20130292,3,3,20,32
20130295,0,0,1,1
20130297,2,10,60,70
20130298,5,3,27,93
20130299,2,1,14,20
20130304,2,3,19,28
20130307,1,2,12,12
20130310,0,0,1,1
20130318,4,5,23,43
20130325,0,0,1,2
20130329,1,1,11,14
20130330,12,14,57,80
20130331,0,0,1,1
20130332,2,2,8,15
20130335,0,0,1,0
20130336,2,2,17,23
20130340,1,1,19,18
20130345,0,0,3,1
20130347,0,0,2,0
20130351,0,0,1,0
20130353,4,11,51,123
20130354,1,0,3,6
20130355,1,0,2,4
20130356,0,0,1,1
20130359,0,0,1,1
20130363,0,0,4,3
20130395,0,3,24,33
20130396,0,0,1,1
20130408,0,0,7,6
20130409,0,0,2,2
20130412,4,15,34,121
20130413,1,0,1,1
20130430,0,0,1,4
20130433,0,0,4,6
20130436,0,3,9,21
20140032,0,1,1,2
20140033,0,0,1,1
20140035,0,0,8,8
20140040,0,0,1,1
20140042,0,1,8,8
20140052,0,0,1,1
20140055,0,6,19,55
20140056,0,0,1,3
20140064,0,0,2,3
20140065,0,1,4,4
20140073,0,0,2,2
20140077,2,6,22,66
20140093,0,0,4,7
20140097,0,0,1,2
20140105,1,0,1,0
20140106,0,0,1,0
20140109,2,1,14,20
20140112,0,0,1,0
20140114,0,0,6,10
20140115,0,0,1,4
20140116,3,4,26,57
20140117,1,3,13,19
20140119,1,0,9,13
20140123,1,1,13,8
20140125,0,1,5,5
20140126,4,4,22,57
20140136,4,2,10,11
20140141,0,1,10,18
20140142,1,2,5,12
20140145,2,1,21,40
20140150,2,0,5,4
20140153,2,2,12,32
20140163,0,0,5,3
20140166,0,0,2,1
20140170,3,3,16,24
20140171,0,0,2,1
20140172,0,0,4,7
20140173,0,0,1,0
20140174,0,0,1,0
20140180,0,1,4,3
20140186,0,0,2,0
20140190,0,7,22,36
20140194,1,3,22,41
20140203,0,0,1,0
20140207,0,0,3,5
20140220,1,0,4,5
20140226,0,0,1,0
20140227,2,2,11,9
20140239,0,12,38,58
20140240,0,0,2,5
20140245,1,0,2,2
20140246,6,34,47,141
20140250,0,0,2,1
20140252,0,2,11,22
20140259,5,18,55,149
20140260,0,2,9,20
20140261,0,5,8,18
20140264,6,26,46,176
20140271,0,1,2,2
20140274,0,0,3,6
20140275,1,0,5,11
20140276,2,4,16,24
20140278,0,2,12,14
20140279,0,1,3,2
20140282,2,20,36,112
20140287,0,0,1,1
20140288,0,0,2,1
20150009,0,0,3,6
20150013,0,2,10,18
20150026,0,0,1,1
20150028,0,1,6,5
20150029,0,1,1,2
20150030,0,0,1,2
20150034,2,6,13,26
20150038,0,0,1,1
20150039,0,0,1,0
20150047,0,0,2,0
20150066,1,0,3,2
20150077,0,1,2,3
20150078,0,0,4,2
20150082,0,0,1,0
20150085,0,0,1,2
20150093,2,2,11,13
20150096,1,4,11,26
20150097,0,0,1,0
20150100,0,0,1,2
20150115,3,7,14,40
20150116,0,0,1,1
20150118,0,0,1,0
20150123,2,15,25,52
20150134,1,0,1,1
20150135,0,0,8,7
20150137,1,0,3,1
20150147,1,0,7,15
20150154,1,3,14,36
20150155,0,0,11,13
20150160,0,0,5,6
20150173,0,2,6,5
20150178,0,0,2,5
20150180,1,3,11,19
20150198,7,8,20,69
20150200,0,4,10,28
20150202,0,0,14,27
20150220,0,0,6,9
20150222,1,1,12,21
20150223,2,9,21,53
20150225,0,0,5,4
20150243,3,2,5,24
20150251,2,0,3,4
20150253,1,3,6,15
20150256,0,1,7,6
20150259,0,0,2,7
20150260,0,0,3,5
20150261,0,0,2,0
20150264,0,0,1,1
20150265,0,0,3,5
20150267,0,1,5,20
20150272,0,0,3,7
